DATUM,CAS,SUM_of_MNOZSTVO
07-08-13,75,8756.252361
07-08-13,90,8741.446827
07-08-13,105,8850.392326
07-08-13,120,9017.09004
07-08-13,135,9243.723009
07-08-13,150,9130.338313
07-08-13,165,9054.035846
07-08-13,180,9077.215879
07-08-13,195,9129.442294
07-08-13,210,9417.963975
07-08-13,225,9822.478972
07-08-13,240,10712.07348
07-08-13,255,12619.2277
07-08-13,270,13495.82338
07-08-13,285,13902.83964
07-08-13,300,14324.97917
07-08-13,315,14811.44338
07-08-13,330,15330.36586
07-08-13,345,15925.00171
07-08-13,360,16403.87113
07-08-13,375,16699.87338
07-08-13,390,16899.64293
07-08-13,405,17008.07879
07-08-13,420,17166.85578
07-08-13,435,17421.46785
07-08-13,450,17581.90541
07-08-13,465,17418.93136
07-08-13,480,17532.45677
07-08-13,495,17389.51126
07-08-13,510,17284.10232
07-08-13,525,17577.86659
07-08-13,540,17493.31889
07-08-13,555,17036.66487
07-08-13,570,17013.46926
07-08-13,585,17083.20417
07-08-13,600,17412.94042
07-08-13,615,17212.28575
07-08-13,630,17524.83905
07-08-13,645,17686.12398
07-08-13,660,18054.6896
07-08-13,675,17889.73317
07-08-13,690,17570.53691
07-08-13,705,16860.25965
07-08-13,720,16596.66871
07-08-13,735,16768.15015
07-08-13,750,16727.43077
07-08-13,765,16493.42358
07-08-13,780,16205.95
07-08-13,795,15981.32342
07-08-13,810,15883.84433
07-08-13,825,15674.31286
07-08-13,840,15782.19301
07-08-13,855,15721.8299
07-08-13,870,15552.80317
07-08-13,885,15264.06885
07-08-13,900,15370.30864
07-08-13,915,15093.9952
07-08-13,930,14575.68847
07-08-13,945,14292.73635
07-08-13,960,14199.70063
07-08-13,975,13949.96781
07-08-13,990,13509.60172
07-08-13,1005,13419.90567
07-08-13,1020,13213.02977
07-08-13,1035,13376.3435
07-08-13,1050,13030.23427
07-08-13,1065,12833.20293
07-08-13,1080,12957.35444
07-08-13,1095,12944.31948
07-08-13,1110,13034.93098
07-08-13,1125,13041.0501
07-08-13,1140,12932.59448
07-08-13,1155,12660.18507
07-08-13,1170,12352.74122
07-08-13,1185,11860.29794
07-08-13,1200,11195.63014
07-08-13,1215,10901.50549
07-08-13,1230,10403.12648
07-08-13,1245,9982.22806
07-08-13,1260,9786.893349
07-08-13,1275,9737.862169
07-08-13,1290,9515.600226
07-08-13,1305,9710.920285
07-08-13,1320,9677.819317
08-08-13,-105,9636.813634
08-08-13,-90,9581.507866
08-08-13,-75,9439.632481
08-08-13,-60,9498.910556
08-08-13,-45,9297.138013
08-08-13,-30,9256.845166
08-08-13,-15,9280.942367
08-08-13,0,9179.605472
08-08-13,15,9171.743471
08-08-13,30,9036.780313
08-08-13,45,9056.207868
08-08-13,60,9064.29719
08-08-13,75,9189.411704
08-08-13,90,9281.416237
08-08-13,105,8809.15214
08-08-13,120,8800.088042
08-08-13,135,8990.158712
08-08-13,150,9330.067839
08-08-13,165,9417.938492
08-08-13,180,9704.816267
08-08-13,195,9683.605103
08-08-13,210,9575.135833
08-08-13,225,9930.778268
08-08-13,240,10736.01307
08-08-13,255,12667.63071
08-08-13,270,13692.78486
08-08-13,285,14139.62747
08-08-13,300,14668.33132
08-08-13,315,15487.7388
08-08-13,330,15859.45647
08-08-13,345,15981.71677
08-08-13,360,16323.8896
08-08-13,375,16641.3874
08-08-13,390,16925.4177
08-08-13,405,17082.26555
08-08-13,420,17357.05348
08-08-13,435,17557.71423
08-08-13,450,17491.71711
08-08-13,465,17411.99897
08-08-13,480,17831.21784
08-08-13,495,17718.28648
08-08-13,510,17640.73596
08-08-13,525,17316.93796
08-08-13,540,17361.98536
08-08-13,555,17195.00237
08-08-13,570,16758.33045
08-08-13,585,16987.48861
08-08-13,600,17404.88259
08-08-13,615,17272.0074
08-08-13,630,17285.06634
08-08-13,645,17440.43749
08-08-13,660,17203.5778
08-08-13,675,17178.06769
08-08-13,690,16954.4041
08-08-13,705,16908.30258
08-08-13,720,16703.32877
08-08-13,735,16616.35136
08-08-13,750,16172.50782
08-08-13,765,15762.42069
08-08-13,780,15561.0595
08-08-13,795,15839.73178
08-08-13,810,15841.77793
08-08-13,825,15684.25326
08-08-13,840,14991.22286
08-08-13,855,14879.75086
08-08-13,870,15139.63997
08-08-13,885,14857.73226
08-08-13,900,15098.99589
08-08-13,915,15069.16754
08-08-13,930,14666.48984
08-08-13,945,14161.74633
08-08-13,960,13909.00874
08-08-13,975,13536.63906
08-08-13,990,13511.03595
08-08-13,1005,13646.97019
08-08-13,1020,13592.24531
08-08-13,1035,13164.72532
08-08-13,1050,13023.11533
08-08-13,1065,13110.14382
08-08-13,1080,12817.07149
08-08-13,1095,12637.77331
08-08-13,1110,12530.51362
08-08-13,1125,12542.28157
08-08-13,1140,12527.55886
08-08-13,1155,12378.66752
08-08-13,1170,11807.24553
08-08-13,1185,11129.54393
08-08-13,1200,10889.25337
08-08-13,1215,10461.01244
08-08-13,1230,10039.17297
08-08-13,1245,9908.663878
08-08-13,1260,9756.761471
08-08-13,1275,9870.035688
08-08-13,1290,9667.883895
08-08-13,1305,9523.968078
08-08-13,1320,9516.403279
09-08-13,-105,9137.539562
09-08-13,-90,8941.574088
09-08-13,-75,8819.638331
09-08-13,-60,8890.593631
09-08-13,-45,8940.701224
09-08-13,-30,8925.725652
09-08-13,-15,8870.502109
09-08-13,0,8912.207925
09-08-13,15,8801.091732
09-08-13,30,8746.71311
09-08-13,45,8688.893778
09-08-13,60,8684.855351
09-08-13,75,8842.329448
09-08-13,90,8865.822951
09-08-13,105,8831.099979
09-08-13,120,8897.967738
09-08-13,135,8965.759125
09-08-13,150,8944.766257
09-08-13,165,9008.596058
09-08-13,180,9133.226188
09-08-13,195,9287.070063
09-08-13,210,8831.603574
09-08-13,225,9221.57489
09-08-13,240,9944.895184
09-08-13,255,11602.56388
09-08-13,270,12723.15976
09-08-13,285,13686.97311
09-08-13,300,14654.14009
09-08-13,315,15559.19979
09-08-13,330,15747.81462
09-08-13,345,16203.15646
09-08-13,360,16076.70461
09-08-13,375,16323.67814
09-08-13,390,16917.13228
09-08-13,405,17275.33026
09-08-13,420,17563.18443
09-08-13,435,17606.34932
09-08-13,450,17649.85031
09-08-13,465,17615.01699
09-08-13,480,17685.43977
09-08-13,495,17636.70119
09-08-13,510,17627.18205
09-08-13,525,16860.07679
09-08-13,540,16911.53614
09-08-13,555,16752.23807
09-08-13,570,16882.22336
09-08-13,585,16835.08432
09-08-13,600,16933.87108
09-08-13,615,17161.00621
09-08-13,630,17175.24846
09-08-13,645,17434.88119
09-08-13,660,17150.13348
09-08-13,675,16806.49512
09-08-13,690,16660.93056
09-08-13,705,16333.58219
09-08-13,720,15595.14403
09-08-13,735,15331.52877
09-08-13,750,15237.78834
09-08-13,765,15240.71544
09-08-13,780,14979.05185
09-08-13,795,14708.15918
09-08-13,810,14489.80741
09-08-13,825,14582.45543
09-08-13,840,14321.41942
09-08-13,855,14119.27134
09-08-13,870,14328.002
09-08-13,885,14467.52878
09-08-13,900,14113.41457
09-08-13,915,14096.3988
09-08-13,930,13934.35813
09-08-13,945,13783.26473
09-08-13,960,13559.37054
09-08-13,975,13249.06086
09-08-13,990,12717.09772
09-08-13,1005,12828.68441
09-08-13,1020,12821.9753
09-08-13,1035,12851.12999
09-08-13,1050,12588.67186
09-08-13,1065,12184.9106
09-08-13,1080,12018.64866
09-08-13,1095,11870.89846
09-08-13,1110,11728.17215
09-08-13,1125,11592.97774
09-08-13,1140,11545.48431
09-08-13,1155,11329.23929
09-08-13,1170,10826.11631
09-08-13,1185,10620.89782
09-08-13,1200,10162.47734
09-08-13,1215,9717.248482
09-08-13,1230,9570.044922
09-08-13,1245,9380.71885
09-08-13,1260,9339.671345
09-08-13,1275,9376.768316
09-08-13,1290,9158.272459
09-08-13,1305,9166.399594
09-08-13,1320,9063.35263
10-08-13,-105,9043.243488
10-08-13,-90,8936.096371
10-08-13,-75,8801.989788
10-08-13,-60,8531.661098
10-08-13,-45,8567.582493
10-08-13,-30,8623.488091
10-08-13,-15,8595.47863
10-08-13,0,8575.299868
10-08-13,15,8679.920679
10-08-13,30,8522.234775
10-08-13,45,8500.948157
10-08-13,60,8267.22742
10-08-13,75,8531.617542
10-08-13,90,8328.290678
10-08-13,105,8417.874823
10-08-13,120,8423.995378
10-08-13,135,8507.636004
10-08-13,150,8514.721479
10-08-13,165,8667.264401
10-08-13,180,8852.293628
10-08-13,195,9077.201458
10-08-13,210,8930.339405
10-08-13,225,9097.022301
10-08-13,240,9268.501154
10-08-13,255,9745.996994
10-08-13,270,10177.35756
10-08-13,285,10252.64395
10-08-13,300,10312.7786
10-08-13,315,10684.71516
10-08-13,330,10883.64777
10-08-13,345,11128.09484
10-08-13,360,11545.3797
10-08-13,375,11759.20794
10-08-13,390,11842.03842
10-08-13,405,12178.93547
10-08-13,420,11981.95148
10-08-13,435,12086.25205
10-08-13,450,12187.23284
10-08-13,465,12255.41583
10-08-13,480,12229.31731
10-08-13,495,12123.97139
10-08-13,510,12159.26477
10-08-13,525,11891.65295
10-08-13,540,11942.6239
10-08-13,555,11799.98985
10-08-13,570,11765.57312
10-08-13,585,11583.171
10-08-13,600,11379.95942
10-08-13,615,11318.33198
10-08-13,630,11603.61006
10-08-13,645,11460.95815
10-08-13,660,11304.72992
10-08-13,675,11306.42113
10-08-13,690,11294.18365
10-08-13,705,11023.20752
10-08-13,720,10947.53631
10-08-13,735,11015.14493
10-08-13,750,10934.65543
10-08-13,765,10950.63877
10-08-13,780,10401.6368
10-08-13,795,10617.51832
10-08-13,810,10641.53888
10-08-13,825,10763.72375
10-08-13,840,10690.18961
10-08-13,855,10714.05035
10-08-13,870,10545.86693
10-08-13,885,10247.95055
10-08-13,900,10274.40324
10-08-13,915,10190.33002
10-08-13,930,10069.67363
10-08-13,945,10161.61776
10-08-13,960,10029.71345
10-08-13,975,9994.340445
10-08-13,990,9970.983004
10-08-13,1005,9903.670766
10-08-13,1020,9961.109711
10-08-13,1035,10159.96118
10-08-13,1050,10054.68677
10-08-13,1065,10024.48526
10-08-13,1080,10055.06389
10-08-13,1095,10141.45909
10-08-13,1110,10039.60734
10-08-13,1125,10020.33423
10-08-13,1140,9910.241153
10-08-13,1155,9747.267644
10-08-13,1170,9344.328566
10-08-13,1185,9110.504511
10-08-13,1200,8943.722446
10-08-13,1215,8628.998189
10-08-13,1230,8497.524402
10-08-13,1245,8430.991191
10-08-13,1260,8389.933292
10-08-13,1275,8499.273476
10-08-13,1290,8348.435443
10-08-13,1305,8274.24561
10-08-13,1320,8297.52689
11-08-13,-105,8176.616122
11-08-13,-90,8080.42293
11-08-13,-75,8005.241725
11-08-13,-60,7901.420782
11-08-13,-45,7915.317668
11-08-13,-30,7856.293059
11-08-13,-15,7811.516692
11-08-13,0,7775.917814
11-08-13,15,7766.441213
11-08-13,30,7653.003297
11-08-13,45,7418.014977
11-08-13,60,7232.447821
11-08-13,75,7530.302603
11-08-13,90,7501.223465
11-08-13,105,7520.362139
11-08-13,120,7662.831965
11-08-13,135,8103.293954
11-08-13,150,8103.810109
11-08-13,165,8158.523541
